Time_s,Phi_query_deg,Theta_query_deg
0,180,163.300755766006
0.1,180,149.036243467926
0.2,180,138.012787504183
0.3,180,129.805571092265
0.4,180,123.69006752598
0.5,180,119.054604099077
0.6,180,115.463345061872
0.7,180,112.61986494804
0.8,180,110.323136829663
0.9,180,108.434948822922
1,180,106.858398767738
1.1,180,105.524110996754
1.2,180,104.381394591091
1.3,180,103.392497753751
1.4,180,102.528807709152
1.5,180,101.768288932021
1.6,180,101.093723011558
1.7,180,100.491477012332
1.8,180,99.9506266879516
1.9,180,99.4623222080256
2,180,99.0193224313817
2.1,180,98.6156481841641
2.2,180,98.2463208144685
2.3,180,97.9071627029585
2.4,180,97.5946433685914
2.5,180,97.3057595333108
2.6,180,97.0379407631847
2.7,180,96.7889745744388
2.8,180,96.5569464981634
2.9,180,96.3401917459099
3,180,96.137255949262
3.1,180,95.9468630539735
3.2,180,95.7678888979141
3.3,180,95.5993393365206
3.4,180,95.4403320310055
3.5,180,95.2900812053713
3.6,180,95.1478848241363
3.7,180,95.0131137550358
3.8,180,94.8852025681173
3.9,180,94.7636416907262
4,180,94.647970691387
4.1,180,94.5377725079067
4.2,180,94.4326684686899
4.3,180,94.3323139831885
4.4,180,94.2363947990588
4.5,180,94.1446237411043
4.6,180,94.0567378612949
4.7,180,93.9724959407507
4.8,180,93.8916762940808
4.9,180,93.8140748342904
5,180,93.7395033629311
5.1,180,93.6677880555314
5.2,180,93.5987681168083
5.3,180,93.5322945838909
5.4,180,93.4682292589171
5.5,180,93.4064437549947
5.6,180,93.3468186417402
5.7,180,93.2892426784918
5.8,180,93.2336121248879
5.9,180,93.1798301198642
6,180,93.1278061212862
6.1,180,93.0774553994244
6.2,180,93.0286985783406
6.3,180,92.9814612199822
6.4,180,92.9356734464212
6.5,180,92.8912695962206
6.6,180,92.8481879113879
6.7,180,92.8063702517883
6.8,180,92.7657618342495
6.9,180,92.7263109939063
7,180,92.6879689656036
7.1,180,92.6506896834218
7.2,180,92.6144295965954
7.3,180,92.5791475002834
7.4,180,92.5448043798131
7.5,180,92.5113632671631
7.6,180,92.4787891085783
7.7,180,92.4470486423236
7.8,180,92.4161102856813
7.9,180,92.3859440303888
8,180,92.3565213457894
8.1,180,92.3278150890412
8.2,180,92.299799421792
8.3,180,92.2724497327829
8.4,180,92.2457425658951
8.5,180,92.2196555531979
8.6,180,92.1941673525987
8.7,180,92.1692575897285
8.8,180,92.1449068037323
8.9,180,92.1210963966615
9,180,92.0978085861921
9.1,180,92.0750263614174
