Time_s,Phi_query_deg,Theta_query_deg
0,0,90
0.1,0,90
0.2,0,90
0.3,0,90
0.4,0,90
0.5,0,90
0.6,0,90
0.7,0,90
0.8,0,90
0.9,0,90
1,0,90
1.1,0,90
1.2,0,90
1.3,0,90
1.4,0,90
1.5,0,90
1.6,0,90
1.7,0,90
1.8,0,90
1.9,0,90
2,0,90
2.1,0,90
2.2,0,90
2.3,0,90
2.4,0,90
2.5,0,90
2.6,0,90
2.7,0,90
2.8,0,90
2.9,0,90
3,0,90
3.1,0,90
3.2,0,90
3.3,0,90
3.4,0,90
3.5,0,90
3.6,0,90
3.7,0,90
3.8,0,90
3.9,0,90
4,0,90
4.1,0,90
4.2,0,90
4.3,0,90
4.4,0,90
4.5,0,90
4.6,0,90
4.7,0,90
4.8,0,90
4.9,0,90
5,0,90
5.1,0,91.8710189298921
5.2,0,93.8049155891446
5.3,0,95.794705255288
5.4,0,97.8343684165241
5.5,0,99.9186947381771
5.6,0,102.043155283353
5.7,0,104.203797443218
5.8,0,106.397158175594
5.9,0,108.620192055148
6,0,110.870211351752
6.1,0,113.14483591544
6.2,0,115.44195108921
6.3,0,117.759672220459
6.4,0,120.096314618418
6.5,0,122.450368024437
6.6,0,124.820474836701
6.7,0,127.205411470546
6.8,0,129.604072347497
6.9,0,132.015456096185
7,0,134.438653621119
7.1,0,136.872837754251
7.2,0,139.317254252337
7.3,0,141.771213942281
7.4,0,144.234085848869
7.5,0,146.705291165726
7.6,0,149.184297952197
7.7,0,151.670616456968
7.8,0,154.163794984282
7.9,0,156.663416231165
8,0,159.169094034584
8.1,0,161.680470476258
8.2,0,164.197213300294
8.3,0,166.719013605042
8.4,0,169.24558377591
8.5,0,171.776655630345
8.6,0,174.311978750043
8.7,0,176.851318978719
8.8,0,179.394457066547
8.9,180,178.058812555185
9,180,175.508682883641
9.1,180,172.95533535082
9.2,180,170.398940737893
9.3,180,167.839660007224
9.4,180,165.277645060712
9.5,180,162.713039432053
9.6,180,160.145978919649
9.7,180,157.576592166164
9.8,180,155.005001190009
9.9,180,152.431321873492
10,180,149.855664411848
10.1,180,149.092013232431
10.2,180,148.34035674384
10.3,180,147.600667203455
10.4,180,146.872901790519
10.5,180,146.157003664232
10.6,180,145.452903001247
10.7,180,144.760518007713
10.8,180,144.079755901805
10.9,180,143.410513863354
11,180,142.752679947875
11.1,180,142.10613396287
11.2,180,141.470748304861
11.3,180,140.846388756091
11.4,180,140.232915240282
11.5,180,139.630182537243
11.6,180,139.038040956437
11.7,180,138.456336969961
11.8,180,137.88491380561
11.9,180,137.323612000919
12,180,136.772269919284
12.1,180,136.230724229351
12.2,180,135.698810349043
12.3,180,135.176362855619
12.4,180,134.663215863267
12.5,180,134.159203369742
12.6,180,133.66415957361
12.7,180,133.177919163631
12.8,180,132.700317581842
12.9,180,132.231191261853
13,180,131.770377843856
13.1,180,131.317716367802
13.2,180,130.87304744616
13.3,180,130.43621341762
13.4,180,130.007058483062
13.5,180,129.585428825032
13.6,180,129.17117271194
13.7,180,128.764140588113
13.8,180,128.364185150792
13.9,180,127.971161415085
14,180,127.58492676787
14.1,180,127.205341011523
14.2,180,126.832266398362
14.3,180,126.46556765659
14.4,180,126.105112008483
14.5,180,125.75076918155
14.6,180,125.402411413291
14.7,180,125.059913450178
14.8,180,124.723152541423
14.9,180,124.392008428055
