Freq [GHz],Phi [deg],Theta [deg],dB(RealizedGainTotal)
1,-90,-180,-49.7160442636998
1,-90,-175,-21.0689475797976
1,-90,-170,-15.039354025791
1,-90,-165,-11.4977869850649
1,-90,-160,-8.97430859749979
1,-90,-155,-7.0104484991448
1,-90,-150,-5.40472323411337
1,-90,-145,-4.05234318312058
1,-90,-140,-2.893270758824
1,-90,-135,-1.89105402918441
1,-90,-130,-1.02280505434422
1,-90,-125,-0.273914363005121
1,-90,-120,0.364973492516035
1,-90,-115,0.899802422176305
1,-90,-110,1.33428139275264
1,-90,-105,1.67066059370594
1,-90,-100,1.91025183869333
1,-90,-95,2.05377549319709
1,-90,-90,2.10158183845289
1,-90,-85,2.05377442036564
1,-90,-80,1.9102496875956
1,-90,-75,1.67065735429314
1,-90,-70,1.3342770520129
1,-90,-65,0.899796966633285
1,-90,-60,0.364966911603851
1,-90,-55,-0.273922072640504
1,-90,-50,-1.02281388350989
1,-90,-45,-1.89106394951056
1,-90,-40,-2.89328171417676
1,-90,-35,-4.05235507734393
1,-90,-30,-5.40473591051182
1,-90,-25,-7.01046169847189
1,-90,-20,-8.97432185093142
1,-90,-15,-11.497799264956
1,-90,-10,-15.039362122357
1,-90,-5,-21.0689307635727
1,-90,0,-49.6915268863378
1,-90,5,-49.7160442636998
1,-90,10,-21.0671983240056
1,-90,15,-15.0384621058193
1,-90,20,-11.4971769664705
1,-90,25,-8.97383747041853
1,-90,30,-7.01006021478172
1,-90,35,-5.40439090953535
1,-90,40,-4.0520525277303
1,-90,45,-2.89301381251644
1,-90,50,-1.89082633795277
1,-90,55,-1.02260422179701
1,-90,60,-0.273739229500157
1,-90,65,0.36512335362995
1,-90,70,0.899927033457823
1,-90,75,1.33438059699138
1,-90,80,1.67073421052608
1,-90,85,1.91029977370032
1,-90,90,2.05379781123259
1,-90,95,2.10157880772606
1,-90,100,2.05374653142383
1,-90,105,1.91019764930436
1,-90,110,1.6705820676575
1,-90,115,1.3341795614097
1,-90,120,0.89967838648672
1,-90,125,0.36482832426352
1,-90,130,-0.274079755834336
1,-90,135,-1.02299011273122
1,-90,140,-1.8912588060354
1,-90,145,-2.8934963121604
1,-90,150,-4.05259220586049
1,-90,155,-5.40500115234388
1,-90,160,-7.01076559614755
1,-90,165,-8.97468469245673
1,-90,170,-11.4982637338978
1,-90,175,-15.0400373994926
1,-90,180,-21.0702562014612
1,-85,-180,-49.6915268863378
1,-85,-175,-49.7160442636998
1,-85,-170,-21.0654490660681
1,-85,-165,-15.0375639308779
1,-85,-160,-11.4965597650493
1,-85,-155,-8.97335985681239
1,-85,-150,-7.00966700206325
1,-85,-145,-5.40405577613527
1,-85,-140,-4.05176156693737
1,-85,-135,-2.89275931234457
1,-85,-130,-1.89060397348795
1,-85,-125,-1.02241161528155
1,-85,-120,-0.273575135932121
1,-85,-115,0.365259543426976
1,-85,-110,0.900035613504294
1,-85,-105,1.33446176046609
1,-85,-100,1.67078819454147
1,-85,-95,1.91032695496481
1,-85,-90,2.05379876445784
1,-85,-85,2.10155433392592
1,-85,-80,2.05369766050558
1,-85,-75,1.91012561959535
1,-85,-70,1.67048828369061
1,-85,-65,1.33406553003071
1,-85,-60,0.899545629799063
1,-85,-55,0.364678265633434
1,-85,-50,-0.274245940284411
1,-85,-45,-1.0231716914657
1,-85,-40,-1.89145576534222
1,-85,-35,-2.89370975781864
1,-85,-30,-4.0528250004252
1,-85,-25,-5.40525902278997
1,-85,-20,-7.01105927827621
1,-85,-15,-8.97503467324319
1,-85,-10,-11.4987127989231
1,-85,-5,-15.0406944060733
1,-85,0,-21.0715579200116
1,-85,5,-49.6915268863378
1,-85,10,-49.7160442636998
1,-85,15,-21.063713590459
1,-85,20,-15.0366667911393
1,-85,25,-11.4959404882286
1,-85,30,-8.97287974038594
1,-85,35,-7.00927212661187
1,-85,40,-5.40372056982999
1,-85,45,-4.0514726035246
1,-85,50,-2.8925091803251
1,-85,55,-1.89038850676167
1,-85,60,-1.02222847285486
1,-85,65,-0.273423000179276
1,-85,70,0.3653814531829
1,-85,75,0.900127851186832
1,-85,80,1.33452485620344
1,-85,85,1.67082278687578
1,-85,90,1.91033387273579
1,-85,95,2.05377907040692
1,-85,100,2.10150933747782
1,-85,105,2.05362890451515
1,-85,110,1.9100348441399
1,-85,115,1.67037736869485
1,-85,120,1.33393641726435
1,-85,125,0.89940022324059
1,-85,130,0.364518306901722
1,-85,135,-0.274419028515292
1,-85,140,-1.02335700786218
1,-85,145,-1.89165320451985
1,-85,150,-2.89392040873996
1,-85,155,-4.05305177406803
1,-85,160,-5.40550774029481
1,-85,165,-7.01134077755608
1,-85,170,-8.97536947204625
1,-85,175,-11.4991434442175
1,-85,180,-15.0413285848623
1,-80,-180,-21.0728264664273
1,-80,-175,-49.6915268863378
