Time_s,Lat_deg,Lon_deg,Alt_m,Yaw_deg,Pitch_deg,Roll_deg
0,39.9,116.3,100,0,90,0
0.1,39.9,116.3,100.25,0,90,0
0.2,39.9,116.3,101,0,90,0
0.3,39.9,116.3,102.25,0,90,0
0.4,39.9,116.3,104,0,90,0
0.5,39.9,116.3,106.25,0,90,0
0.6,39.9,116.3,109,0,90,0
0.7,39.9,116.3,112.25,0,90,0
0.8,39.9,116.3,116,0,90,0
0.9,39.9,116.3,120.25,0,90,0
1,39.9,116.3,125,0,90,0
1.1,39.9,116.3,130.25,0,90,0
1.2,39.9,116.3,136,0,90,0
1.3,39.9,116.3,142.25,0,90,0
1.4,39.9,116.3,149,0,90,0
1.5,39.9,116.3,156.25,0,90,0
1.6,39.9,116.3,164,0,90,0
1.7,39.9,116.3,172.25,0,90,0
1.8,39.9,116.3,181,0,90,0
1.9,39.9,116.3,190.25,0,90,0
2,39.9,116.3,200,0,90,0
2.1,39.9,116.3,210.25,0,90,0
2.2,39.9,116.3,221,0,90,0
2.3,39.9,116.3,232.25,0,90,0
2.4,39.9,116.3,244,0,90,0
2.5,39.9,116.3,256.25,0,90,0
2.6,39.9,116.3,269,0,90,0
2.7,39.9,116.3,282.25,0,90,0
2.8,39.9,116.3,296,0,90,0
2.9,39.9,116.3,310.25,0,90,0
3,39.9,116.3,325,0,90,0
3.1,39.9,116.3,340.25,0,90,0
3.2,39.9,116.3,356,0,90,0
3.3,39.9,116.3,372.25,0,90,0
3.4,39.9,116.3,389,0,90,0
3.5,39.9,116.3,406.25,0,90,0
3.6,39.9,116.3,424,0,90,0
3.7,39.9,116.3,442.25,0,90,0
3.8,39.9,116.3,461,0,90,0
3.9,39.9,116.3,480.25,0,90,0
4,39.9,116.3,500,0,90,0
4.1,39.9,116.3,520.25,0,90,0
4.2,39.9,116.3,541,0,90,0
4.3,39.9,116.3,562.25,0,90,0
4.4,39.9,116.3,584,0,90,0
4.5,39.9,116.3,606.25,0,90,0
4.6,39.9,116.3,629,0,90,0
4.7,39.9,116.3,652.25,0,90,0
4.8,39.9,116.3,676,0,90,0
4.9,39.9,116.3,700.25,0,90,0
5,39.9,116.3,730.25,0,90,0
5.1,39.9000084650295,116.3,760.235196810972,0,88.2,0
5.2,39.9000253867345,116.3,790.17599866382,0,86.4,0
5.3,39.9000507484154,116.3,820.042857601913,0,84.6,0
5.4,39.9000845250432,116.3,849.806298641347,0,82.8,0
5.5,39.9001266832844,116.3,879.436948859201,0,81,0
5.6,39.9001771815341,116.3,908.905566381062,0,79.2,0
5.7,39.9002359699565,116.3,938.183069239224,0,77.4,0
5.8,39.9003029905344,116.3,967.240564073083,0,75.6,0
5.9,39.9003781771269,116.3,996.049374643392,0,73.8,0
6,39.9004614555336,116.3,1024.58107013225,0,72,0
6.1,39.9005527435689,116.3,1052.80749320087,0,70.2,0
6.2,39.9006519511425,116.3,1080.70078777752,0,68.4,0
6.3,39.9007589803486,116.3,1108.23342654804,0,66.6,0
6.4,39.9008737255622,116.3,1135.37823812202,0,64.8,0
6.5,39.9009960735436,116.3,1162.10843384767,0,63,0
6.6,39.9011259035502,116.3,1188.39763424899,0,61.2,0
6.7,39.9012630874554,116.3,1214.21989505911,0,59.4,0
6.8,39.9014074898753,116.3,1239.54973282417,0,57.6,0
6.9,39.9015589683021,116.3,1264.3621500524,0,55.8,0
7,39.9017173732448,116.3,1288.63265988365,0,54,0
7.1,39.9018825483771,116.3,1312.33731025492,0,52.2,0
7.2,39.9020543306908,116.3,1335.4527075382,0,50.4,0
7.3,39.9022325506577,116.3,1357.95603962711,0,48.6,0
7.4,39.902417032396,116.3,1379.82509844975,0,46.8,0
7.5,39.9026075938447,116.3,1401.03830188535,0,45,0
7.6,39.9028040469426,116.3,1421.57471506321,0,43.2,0
7.7,39.9030061978142,116.3,1441.41407102292,0,41.4,0
7.8,39.903213846961,116.3,1460.53679071538,0,39.6,0
7.9,39.9034267894584,116.3,1478.92400232497,0,37.8,0
8,39.9036448151577,116.3,1496.55755989374,0,36,0
8.1,39.903867708894,116.3,1513.42006122931,0,34.2,0
8.2,39.9040952506981,116.3,1529.49486507868,0,32.4,0
8.3,39.9043272160137,116.3,1544.76610755119,0,30.6,0
8.4,39.9045633759189,116.3,1559.21871777424,0,28.8,0
8.5,39.9048034973526,116.3,1572.83843276642,0,27,0
8.6,39.9050473433438,116.3,1585.61181151338,0,25.2,0
8.7,39.905294673246,116.3,1597.52624823242,0,23.4,0
8.8,39.9055452429745,116.3,1608.56998481296,0,21.6,0
8.9,39.905798805247,116.3,1618.73212242032,0,19.8,0
9,39.9060551098284,116.3,1628.00263225157,0,18,0
9.1,39.906313903777,116.3,1636.37236543274,0,16.2,0
9.2,39.9065749316942,116.3,1643.83306204769,0,14.4,0
9.3,39.9068379359772,116.3,1650.37735928959,0,12.6,0
9.4,39.9071026570724,116.3,1655.99879872716,0,10.8,0
9.5,39.9073688337321,116.3,1660.69183267837,0,9,0
9.6,39.9076362032721,116.3,1664.45182968529,0,7.19999999999998,0
9.7,39.9079045018308,116.3,1667.27507908485,0,5.39999999999998,0
9.8,39.90817346463,116.3,1669.15879467073,0,3.59999999999998,0
9.9,39.908442826236,116.3,1670.10111744307,0,1.79999999999999,0
10,39.9087123208212,116.3,1670.10111744307,0,0,0
10.1,39.9089818154064,116.3,1670.10111744307,0,0,0
10.2,39.9092513099917,116.3,1670.10111744307,0,0,0
10.3,39.9095208045769,116.3,1670.10111744307,0,0,0
10.4,39.9097902991621,116.3,1670.10111744307,0,0,0
10.5,39.9100597937474,116.3,1670.10111744307,0,0,0
10.6,39.9103292883326,116.3,1670.10111744307,0,0,0
10.7,39.9105987829178,116.3,1670.10111744307,0,0,0
10.8,39.9108682775031,116.3,1670.10111744307,0,0,0
10.9,39.9111377720883,116.3,1670.10111744307,0,0,0
11,39.9114072666735,116.3,1670.10111744307,0,0,0
11.1,39.9116767612588,116.3,1670.10111744307,0,0,0
11.2,39.911946255844,116.3,1670.10111744307,0,0,0
11.3,39.9122157504293,116.3,1670.10111744307,0,0,0
11.4,39.9124852450145,116.3,1670.10111744307,0,0,0
11.5,39.9127547395997,116.3,1670.10111744307,0,0,0
11.6,39.913024234185,116.3,1670.10111744307,0,0,0
11.7,39.9132937287702,116.3,1670.10111744307,0,0,0
11.8,39.9135632233554,116.3,1670.10111744307,0,0,0
11.9,39.9138327179407,116.3,1670.10111744307,0,0,0
12,39.9141022125259,116.3,1670.10111744307,0,0,0
12.1,39.9143717071111,116.3,1670.10111744307,0,0,0
12.2,39.9146412016964,116.3,1670.10111744307,0,0,0
12.3,39.9149106962816,116.3,1670.10111744307,0,0,0
